Name,samAccountName,ParentOU
PC204-01,PC204-01,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-02,PC204-02,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-03,PC204-03,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-04,PC204-04,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-05,PC204-05,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-06,PC204-06,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-07,PC204-07,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-08,PC204-08,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-09,PC204-09,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-11,PC204-11,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-12,PC204-12,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-13,PC204-13,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-14,PC204-14,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-15,PC204-15,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-16,PC204-16,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-17,PC204-17,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-18,PC204-18,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-19,PC204-19,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-20,PC204-20,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-21,PC204-21,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-22,PC204-22,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-23,PC204-23,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-24,PC204-24,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-25,PC204-25,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-26,PC204-26,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-27,PC204-27,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-28,PC204-28,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-29,PC204-29,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
PC204-30,PC204-30,"OU=room204,OU=pecpSupportPCs,DC=cs,DC=pec"
